na_item,unit,geo\time	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
B1GQ,CP_MEUR,SI	36363.9 	37058.6 	36253.3 	36454.3 	37634.3 	38852.6 	40443.2 	43011.3 	45864.2 	48396.7 	46918.0 	52020.2 
B1GQ,CP_MEUR,SK	68492.1 	71477.1 	73360.8 	74217.3 	76092.7 	79888.1 	81014.3 	84442.9 	89430.0 	94048.0 	92079.3 	97122.5 
B1GQ,CP_MEUR,TR	584855.7 	600961.4 	683587.3 	719726.6 	707000.8 	777042.3 	785618.9 	760497.1 	658544.4 	679132.2 	626576.2 	685765.4 p
B1GQ,CP_MEUR,UK	1872175.5 	1912869.3 	2111028.9 	2096338.0 	2311080.2 	2644716.5 	2434119.2 	2359789.9 	2420897.2 	2526615.2 	: 	: 
B1GQ,CP_MEUR,XK	4031.0 	4555.9 	4797.3 	5071.3 	5325.1 	5674.4 	6037.3 	6356.5 	6671.5 	7056.2 	6771.6 	7816.6 p
B1GQ,CP_MPPS,AL	21463.9 	22376.5 	23081.5 	22489.4 	23987.7 	25251.7 	24822.0 	25672.9 	26764.9 	27747.9 p	: 	: 
B1GQ,CP_MPPS,AT	268860.1 	281469.4 	296082.7 	298622.8 	307548.8 	324030.3 	328877.2 	333419.3 	348342.9 	358170.0 	: 	: 
B1GQ,CP_MPPS,BA	26507.7 	27560.4 	28082.9 	28679.3 	29357.8 	30968.3 	31628.3 	32248.8 	34303.2 	36019.5 	: 	: 
B1GQ,CP_MPPS,BE	332174.8 	341004.6 	355116.2 	358127.3 	371380.3 	391625.6 	393465.5 	401419.8 	415226.5 	433030.3 	: 	: 
B1GQ,CP_MPPS,BG	84644.6 	87312.3 	90185.2 	88875.1 	93846.5 	99257.5 	102236.4 	106282.6 	111850.1 	118685.0 	: 	: 
B1GQ,CP_MPPS,CH	328487.0 	346201.8 	362344.4 	369895.8 	387084.2 	411118.9 	407462.2 	408598.6 	422070.6 	429008.4 	: 	: 
B1GQ,CP_MPPS,CY	21214.7 	21388.3 	20793.0 	19239.6 	18910.0 	20276.5 	21733.2 	23023.1 	24411.8 	25933.8 	: 	: 
B1GQ,CP_MPPS,CZ	223484.9 	229685.0 	232468.5 	238114.5 	252270.7 	268790.7 	272527.9 	287762.2 	302486.3 	317571.7 	: 	: 
B1GQ,CP_MPPS,DE	2437596.2 	2576805.0 	2636400.3 	2666454.8 	2807440.0 	2924043.2 	2976056.7 	3068937.3 	3167812.6 p	3211693.3 p	: 	: 
B1GQ,CP_MPPS,DK	182560.3 	186639.5 	189401.7 	192801.9 	199347.3 	209578.6 	212723.2 	223261.3 	230381.6 	237045.7 	: 	: 
B1GQ,CP_MPPS,EA	9102107.1 	9389815.6 	9517810.3 	9571797.6 	9910075.4 	10474769.7 	10590546.7 	10887936.4 	11248481.4 	11613244.7 	: 	: 
B1GQ,CP_MPPS,EA19	9200228.0 	9471968.8 	9606313.8 	9663422.1 	9971017.4 	10474769.7 	10590546.7 	10887936.4 	11248481.4 	11613244.7 	: 	: 
B1GQ,CP_MPPS,EE	22027.9 	24597.0 	25995.6 	26600.3 	28058.9 	28854.9 	29438.5 	31171.4 	33149.9 	34880.7 	: 	: 
B1GQ,CP_MPPS,EL	237553.1 b	215106.6 	208013.6 	209395.8 	213860.2 	217715.4 	211828.3 	215220.1 	219898.8 	226041.1 p	: 	: 
B1GQ,CP_MPPS,ES	1129244.6 	1123971.9 	1121663.2 	1111152.5 	1149126.4 	1218811.2 	1238398.1 	1288498.0 	1317463.3 	1364922.2 p	: 	: 
B1GQ,CP_MPPS,EU27_2020	11102365.1 	11462613.3 	11658425.3 	11734740.6 	12127981.5 	12775319.9 	12916858.7 	13321779.3 	13802024.3 	14310016.6 	: 	: 
B1GQ,CP_MPPS,EU28	12852481.1 	13236785.0 	13502872.6 	13616497.1 	14094954.5 	14859340.4 	14986619.2 	15435835.6 	15952374.2 	16543705.8 	: 	: 
B1GQ,CP_MPPS,FI	159886.3 	166356.9 	167295.2 	165842.3 	168174.8 	175083.2 	176432.2 	183312.4 	189171.6 	192974.6 	: 	: 
B1GQ,CP_MPPS,FR	1786580.6 	1845988.1 	1870397.7 	1916875.5 	1963040.6 	2043912.2 	2046430.4 	2086903.0 	2162021.8 	2291936.6 p	: 	: 
B1GQ,CP_MPPS,HR	65632.7 	67876.1 	69036.0 	69054.5 	69776.4 	73643.5 	75194.5 	78353.1 	81659.9 	86237.0 	: 	: 
B1GQ,CP_MPPS,HU	166452.9 	173347.4 	174563.4 	178526.4 	186984.4 	198383.0 	195975.2 	202011.6 	215808.7 	227438.8 	: 	: 
B1GQ,CP_MPPS,IE	150761.2 	155792.5 	161214.6 	162520.5 	175508.5 	244029.3 	242932.3 	261488.3 	284701.3 	299445.9 	: 	: 
B1GQ,CP_MPPS,IS	9680.4 	9854.0 	10184.7 	10565.9 	11104.6 	12237.5 	12817.8 	13366.6 	13958.0 	14574.4 	: 	: 
B1GQ,CP_MPPS,IT	1594836.6 	1639769.9 	1642360.6 	1607398.7 	1622505.6 	1684851.7 	1729593.4 	1761005.6 	1798810.5 	1840839.7 	: 	: 
B1GQ,CP_MPPS,LT	47632.5 	52288.7 	55801.0 	58078.5 	60945.5 	62976.5 	63377.3 	66805.9 	70497.3 	74790.8 	: 	: 
B1GQ,CP_MPPS,LU	35054.9 	36951.0 	38790.3 	40298.2 	43196.9 	46192.2 	47143.3 	47971.1 	49190.9 	50527.1 	: 	: 
B1GQ,CP_MPPS,LV	28421.9 	29915.0 	32744.4 	33483.2 	35015.1 	37129.8 	37413.3 	38961.2 	41163.7 	42378.4 	: 	: 
B1GQ,CP_MPPS,ME	6463.6 	6771.4 	6504.8 	6788.2 	7048.2 	7640.1 	8092.2 	8569.8 	9260.1 	9967.5 	: 	: 
B1GQ,CP_MPPS,MK	17865.9 	18157.6 	18566.9 	19304.4 	20482.6 	21617.2 	22416.5 	22795.0 	24123.7 	25188.1 p	: 	: 
B1GQ,CP_MPPS,MT	9110.8 	9100.3 	9603.9 	10109.4 	11005.6 	12533.1 	12918.5 	14261.7 	15276.9 	16596.5 	: 	: 
B1GQ,CP_MPPS,NL	572717.4 	586950.7 	598798.7 	608071.6 	612295.9 	640497.5 	636261.3 	660232.0 	689305.8 	710780.8 	: 	: 
B1GQ,CP_MPPS,NO	216702.4 	232002.4 	247965.3 	249951.1 	249621.6 	235503.6 	220441.3 	236458.6 	256517.8 	248105.1 	: 	: 
B1GQ,CP_MPPS,PL	613456.8 	655624.5 	683315.7 	686758.8 	714095.4 	767188.0 	768378.5 	798723.1 	839392.0 	891161.4 	: 	: 
B1GQ,CP_MPPS,PT	220574.3 	213251.4 	210166.7 	214676.6 	220453.1 	230992.6 	233190.4 	238120.8 	248480.6 	258411.3 	: 	: 
B1GQ,CP_MPPS,RO	263025.0 	272063.9 	286142.1 	290500.7 	303281.8 	321894.1 	341680.5 	371956.7 	395278.8 	428739.3 	: 	: 
B1GQ,CP_MPPS,RS	71410.3 	75037.2 	75837.0 	77015.8 	77083.3 	79638.6 	79976.0 	81589.3 	85583.1 	90790.9 	: 	: 
B1GQ,CP_MPPS,SE	303017.9 	318053.5 	326969.9 	326726.8 	337374.8 	361771.1 	357556.1 	365521.8 	376731.7 	389769.4 	: 	: 
B1GQ,CP_MPPS,SI	43622.8 	44813.8 	45168.8 	45373.1 	46939.3 	49070.6 	50072.4 	52776.5 	55896.0 	58989.4 	: 	: 
B1GQ,CP_MPPS,SK	104389.8 	106501.3 	109925.6 	111049.0 	115597.4 	122194.2 	115036.0 	114391.6 	117612.7 	121088.6 	: 	: 
B1GQ,CP_MPPS,TR	970909.6 	1097196.8 	1172351.9 	1251949.8 	1371953.2 	1520552.4 	1512185.1 	1584071.0 	1592653.5 	1556778.3 	: 	: 
B1GQ,CP_MPPS,UK	1750144.4 	1774170.5 	1844458.5 	1881753.1 	1966997.2 	2084076.7 	2069819.5 	2114104.5 	2164663.8 	2224750.5 	: 	: 
